gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Grade3,Grade2,Grade1,Fail
female,group A,master's degree,standard,completed,55,73,83,0,1,0,0
male,group D,high school,free/reduced,completed,64,78,87,0,1,0,0
female,group E,high school,free/reduced,none,50,62,65,1,0,0,0
male,group A,some high school,standard,completed,74,50,71,0,1,0,0
female,group C,master's degree,standard,completed,61,77,22,1,0,0,0
male,group A,associate's degree,free/reduced,none,100,51,46,0,1,0,0
female,group A,bachelor's degree,free/reduced,none,61,79,76,0,1,0,0
female,group A,associate's degree,standard,completed,80,66,71,0,1,0,0
male,group E,master's degree,free/reduced,completed,71,60,62,0,1,0,0
female,group D,high school,free/reduced,none,100,57,54,0,1,0,0
male,group C,associate's degree,free/reduced,none,78,51,89,0,1,0,0
male,group C,master's degree,free/reduced,completed,42,81,96,0,1,0,0
male,group E,some high school,free/reduced,completed,81,80,48,0,1,0,0
female,group C,some high school,free/reduced,completed,50,62,80,0,1,0,0
female,group D,associate's degree,standard,none,94,78,32,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,77,34,57,1,0,0,0
female,group A,associate's degree,standard,completed,65,86,64,0,1,0,0
male,group A,associate's degree,free/reduced,none,59,30,63,1,0,0,0
female,group A,high school,standard,none,85,66,79,0,1,0,0
female,group E,associate's degree,standard,completed,68,63,59,0,1,0,0
male,group D,master's degree,standard,none,65,71,40,1,0,0,0
female,group A,some high school,standard,none,45,19,78,1,0,0,0
female,group B,some high school,free/reduced,completed,100,98,63,0,0,1,0
male,group A,bachelor's degree,standard,none,83,55,39,1,0,0,0
female,group D,master's degree,standard,completed,83,62,26,1,0,0,0
male,group B,high school,standard,none,97,53,62,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,80,43,41,1,0,0,0
male,group B,master's degree,standard,none,86,67,55,0,1,0,0
female,group A,some high school,standard,completed,14,63,68,1,0,0,0
female,group B,associate's degree,free/reduced,none,95,87,72,0,0,1,0
female,group B,some high school,free/reduced,none,56,49,79,0,1,0,0
male,group E,some high school,standard,completed,41,79,82,0,1,0,0
male,group C,associate's degree,standard,none,54,47,85,0,1,0,0
female,group B,high school,standard,completed,7,65,96,1,0,0,0
male,group D,high school,standard,none,93,85,64,0,0,1,0
male,group E,associate's degree,standard,none,53,100,32,0,1,0,0
female,group D,master's degree,free/reduced,none,46,50,80,1,0,0,0
male,group C,high school,free/reduced,none,100,66,52,0,1,0,0
female,group A,master's degree,standard,none,100,58,76,0,1,0,0
male,group C,high school,free/reduced,completed,83,71,63,0,1,0,0
male,group C,bachelor's degree,standard,none,27,40,62,1,0,0,0
female,group E,some high school,standard,none,99,75,57,0,1,0,0
female,group D,master's degree,free/reduced,completed,50,62,64,1,0,0,0
male,group D,high school,free/reduced,none,58,23,84,1,0,0,0
female,group A,high school,standard,completed,71,29,70,1,0,0,0
female,group C,high school,free/reduced,completed,52,27,38,0,0,0,1
male,group D,high school,standard,none,98,33,58,0,1,0,0
female,group A,master's degree,standard,completed,59,68,64,0,1,0,0
female,group B,master's degree,standard,completed,53,49,100,0,1,0,0
male,group A,some high school,free/reduced,none,52,67,72,0,1,0,0
male,group A,some high school,free/reduced,completed,45,67,64,1,0,0,0
male,group D,master's degree,standard,completed,51,67,87,0,1,0,0
male,group A,associate's degree,standard,none,100,93,38,0,1,0,0
female,group A,bachelor's degree,standard,completed,95,43,63,0,1,0,0
male,group A,high school,standard,none,61,27,70,1,0,0,0
male,group D,master's degree,standard,completed,46,70,81,0,1,0,0
female,group A,some high school,standard,none,57,76,54,0,1,0,0
female,group B,master's degree,standard,none,71,39,74,0,1,0,0
male,group C,master's degree,free/reduced,completed,58,91,66,0,1,0,0
male,group A,master's degree,free/reduced,completed,71,47,87,0,1,0,0
male,group E,some high school,free/reduced,completed,79,69,54,0,1,0,0
male,group E,high school,standard,none,73,79,100,0,0,1,0
male,group B,some high school,standard,completed,22,68,63,1,0,0,0
male,group E,associate's degree,standard,completed,49,70,46,1,0,0,0
male,group C,bachelor's degree,free/reduced,none,70,88,88,0,0,1,0
female,group B,master's degree,free/reduced,completed,43,89,53,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,32,60,69,1,0,0,0
female,group C,some high school,free/reduced,completed,44,72,74,0,1,0,0
male,group D,associate's degree,standard,none,0,36,100,1,0,0,0
male,group E,bachelor's degree,free/reduced,none,87,42,57,0,1,0,0
male,group D,high school,standard,completed,80,38,60,1,0,0,0
female,group E,bachelor's degree,free/reduced,none,49,60,87,0,1,0,0
female,group B,some high school,free/reduced,completed,40,54,53,1,0,0,0
female,group A,associate's degree,free/reduced,none,60,95,76,0,1,0,0
male,group D,master's degree,free/reduced,none,74,67,63,0,1,0,0
female,group C,associate's degree,free/reduced,none,37,55,62,1,0,0,0
female,group A,some high school,free/reduced,completed,31,68,83,0,1,0,0
female,group A,bachelor's degree,free/reduced,none,34,87,66,0,1,0,0
female,group A,master's degree,standard,completed,87,68,42,0,1,0,0
male,group C,associate's degree,standard,completed,61,43,14,0,0,0,1
male,group B,some high school,standard,none,63,47,75,0,1,0,0
female,group B,master's degree,free/reduced,none,57,75,75,0,1,0,0
female,group E,some high school,free/reduced,none,100,52,79,0,1,0,0
male,group D,high school,free/reduced,none,54,52,76,0,1,0,0
female,group B,bachelor's degree,standard,completed,65,81,79,0,1,0,0
female,group C,high school,free/reduced,completed,98,74,90,0,0,1,0
male,group B,some high school,free/reduced,completed,33,58,61,1,0,0,0
male,group A,associate's degree,free/reduced,completed,54,65,75,0,1,0,0
male,group A,some high school,free/reduced,none,56,68,52,1,0,0,0
female,group A,high school,free/reduced,completed,33,60,68,1,0,0,0
male,group C,high school,standard,completed,77,56,100,0,1,0,0
male,group E,master's degree,free/reduced,none,34,70,90,0,1,0,0
female,group C,master's degree,standard,none,71,65,100,0,1,0,0
female,group C,some high school,standard,completed,63,57,42,1,0,0,0
female,group D,associate's degree,standard,none,68,100,61,0,1,0,0
male,group C,master's degree,standard,none,89,85,17,0,1,0,0
female,group B,master's degree,free/reduced,none,61,75,80,0,1,0,0
female,group A,high school,free/reduced,none,55,88,80,0,1,0,0
male,group C,high school,standard,none,48,76,60,0,1,0,0
male,group A,some high school,free/reduced,completed,46,54,61,1,0,0,0
male,group D,master's degree,standard,completed,82,87,61,0,1,0,0
male,group D,some high school,free/reduced,none,91,43,45,1,0,0,0
female,group B,master's degree,free/reduced,none,58,100,59,0,1,0,0
female,group C,master's degree,standard,none,63,59,54,1,0,0,0
female,group B,some high school,free/reduced,completed,68,62,57,0,1,0,0
male,group E,some high school,free/reduced,completed,53,45,51,1,0,0,0
male,group C,associate's degree,free/reduced,completed,68,81,81,0,1,0,0
female,group E,master's degree,free/reduced,none,69,61,80,0,1,0,0
male,group A,some high school,standard,none,75,59,89,0,1,0,0
male,group E,master's degree,free/reduced,completed,80,65,28,1,0,0,0
male,group C,associate's degree,free/reduced,completed,69,58,100,0,1,0,0
male,group B,associate's degree,free/reduced,none,94,81,97,0,0,1,0
male,group C,associate's degree,standard,none,74,69,74,0,1,0,0
male,group E,high school,standard,completed,83,45,100,0,1,0,0
male,group D,associate's degree,free/reduced,completed,76,70,97,0,0,1,0
male,group A,master's degree,free/reduced,completed,31,55,53,1,0,0,0
male,group C,high school,standard,none,67,55,68,0,1,0,0
female,group C,some high school,standard,completed,73,70,79,0,1,0,0
male,group D,bachelor's degree,free/reduced,completed,63,34,42,1,0,0,0
male,group E,master's degree,standard,none,76,97,75,0,0,1,0
female,group B,associate's degree,standard,completed,46,42,72,1,0,0,0
female,group E,high school,standard,none,62,44,100,0,1,0,0
female,group A,master's degree,standard,completed,81,59,66,0,1,0,0
female,group E,associate's degree,standard,none,88,95,49,0,1,0,0
male,group E,master's degree,standard,none,36,74,61,1,0,0,0
male,group B,associate's degree,free/reduced,none,57,97,69,0,1,0,0
female,group A,bachelor's degree,standard,none,77,65,79,0,1,0,0
male,group E,master's degree,free/reduced,none,36,52,67,1,0,0,0
male,group D,some high school,free/reduced,completed,75,50,48,1,0,0,0
female,group E,some high school,standard,none,45,34,89,1,0,0,0
female,group A,some high school,free/reduced,completed,65,9,39,0,0,0,1
male,group E,associate's degree,standard,completed,26,83,39,1,0,0,0
female,group E,associate's degree,standard,completed,30,62,74,1,0,0,0
male,group D,some high school,standard,completed,69,60,66,0,1,0,0
male,group A,associate's degree,free/reduced,completed,54,46,96,0,1,0,0
female,group A,associate's degree,standard,none,64,50,73,0,1,0,0
male,group B,master's degree,standard,none,88,87,43,0,1,0,0
male,group D,associate's degree,free/reduced,none,29,33,55,0,0,0,1
male,group B,high school,free/reduced,completed,57,35,85,1,0,0,0
female,group D,high school,standard,completed,92,75,49,0,1,0,0
male,group B,master's degree,standard,completed,88,97,41,0,1,0,0
female,group B,associate's degree,standard,none,100,76,100,0,0,1,0
male,group C,high school,free/reduced,none,64,43,59,1,0,0,0
male,group C,associate's degree,standard,none,89,64,63,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,100,87,51,0,1,0,0
male,group E,bachelor's degree,free/reduced,none,43,45,77,1,0,0,0
male,group C,some high school,free/reduced,none,86,92,76,0,0,1,0
female,group E,associate's degree,free/reduced,completed,62,46,42,1,0,0,0
male,group A,high school,free/reduced,none,42,53,75,1,0,0,0
female,group D,master's degree,free/reduced,none,45,62,100,0,1,0,0
male,group A,some high school,free/reduced,completed,82,72,45,0,1,0,0
female,group B,associate's degree,free/reduced,completed,53,68,66,0,1,0,0
female,group D,associate's degree,standard,completed,84,58,80,0,1,0,0
female,group D,master's degree,standard,none,78,68,61,0,1,0,0
male,group C,associate's degree,standard,none,63,60,78,0,1,0,0
male,group E,some high school,standard,none,47,78,78,0,1,0,0
female,group D,high school,free/reduced,none,45,55,82,0,1,0,0
female,group E,some high school,standard,completed,69,80,76,0,1,0,0
male,group C,bachelor's degree,free/reduced,none,66,86,83,0,1,0,0
female,group B,associate's degree,free/reduced,none,68,81,91,0,1,0,0
male,group B,associate's degree,standard,none,51,83,74,0,1,0,0
female,group C,bachelor's degree,standard,completed,62,96,49,0,1,0,0
male,group B,high school,free/reduced,none,100,84,30,0,1,0,0
male,group D,associate's degree,standard,completed,55,77,93,0,1,0,0
female,group D,high school,free/reduced,completed,67,72,70,0,1,0,0
male,group C,high school,standard,none,68,92,64,0,1,0,0
female,group B,high school,free/reduced,none,52,46,63,1,0,0,0
male,group C,some high school,standard,completed,84,77,32,0,1,0,0
female,group E,some high school,standard,completed,44,25,39,0,0,0,1
male,group E,some high school,standard,none,78,54,52,0,1,0,0
male,group B,some high school,standard,completed,50,83,75,0,1,0,0
female,group B,high school,standard,none,80,66,62,0,1,0,0
female,group A,high school,standard,none,74,87,90,0,0,1,0
male,group B,bachelor's degree,standard,completed,39,53,43,1,0,0,0
female,group E,associate's degree,standard,completed,69,60,38,1,0,0,0
male,group D,associate's degree,standard,completed,53,92,63,0,1,0,0
female,group B,high school,free/reduced,completed,75,26,65,1,0,0,0
male,group B,some high school,standard,completed,89,48,83,0,1,0,0
female,group A,high school,free/reduced,none,54,64,63,0,1,0,0
female,group E,associate's degree,standard,none,58,75,75,0,1,0,0
male,group E,bachelor's degree,standard,completed,92,62,52,0,1,0,0
male,group E,associate's degree,standard,completed,72,51,39,1,0,0,0
male,group E,high school,standard,none,95,85,51,0,1,0,0
male,group A,associate's degree,free/reduced,completed,76,48,37,1,0,0,0
female,group C,master's degree,free/reduced,completed,32,100,64,0,1,0,0
male,group C,associate's degree,free/reduced,none,96,89,52,0,1,0,0
male,group D,some high school,standard,none,51,81,47,1,0,0,0
male,group A,some high school,free/reduced,none,52,42,65,1,0,0,0
male,group E,master's degree,standard,completed,70,83,58,0,1,0,0
male,group B,master's degree,standard,completed,51,41,75,1,0,0,0
female,group C,associate's degree,free/reduced,none,95,62,77,0,1,0,0
male,group B,some high school,standard,none,62,58,58,1,0,0,0
female,group E,master's degree,standard,completed,58,68,17,1,0,0,0
female,group C,high school,free/reduced,completed,71,68,56,0,1,0,0
male,group C,some high school,standard,none,73,72,66,0,1,0,0
male,group C,bachelor's degree,free/reduced,completed,93,60,48,0,1,0,0
female,group E,associate's degree,standard,none,69,90,82,0,0,1,0
female,group E,associate's degree,free/reduced,none,81,69,40,0,1,0,0
female,group A,some high school,standard,completed,100,65,35,0,1,0,0
male,group B,bachelor's degree,standard,none,41,93,96,0,1,0,0
female,group B,associate's degree,free/reduced,none,83,77,100,0,0,1,0
female,group B,associate's degree,standard,none,71,44,54,1,0,0,0
male,group C,high school,free/reduced,none,52,79,71,0,1,0,0
male,group B,bachelor's degree,standard,completed,77,74,96,0,0,1,0
female,group B,some high school,free/reduced,none,90,100,7,0,1,0,0
female,group E,bachelor's degree,free/reduced,completed,80,78,66,0,1,0,0
female,group E,high school,standard,none,65,33,49,1,0,0,0
male,group A,associate's degree,standard,completed,54,44,100,0,1,0,0
male,group C,master's degree,standard,completed,72,98,60,0,1,0,0
female,group E,master's degree,free/reduced,completed,61,94,65,0,1,0,0
female,group E,some high school,standard,none,79,77,73,0,1,0,0
female,group D,master's degree,standard,completed,37,69,42,1,0,0,0
male,group E,associate's degree,free/reduced,none,46,59,70,1,0,0,0
female,group E,master's degree,standard,completed,70,67,62,0,1,0,0
male,group A,master's degree,standard,none,87,94,53,0,1,0,0
male,group B,high school,standard,none,73,36,75,0,1,0,0
male,group C,bachelor's degree,free/reduced,completed,11,100,79,0,1,0,0
female,group E,some high school,standard,none,28,85,82,0,1,0,0
male,group E,high school,free/reduced,none,53,57,85,0,1,0,0
male,group D,master's degree,free/reduced,completed,17,69,72,1,0,0,0
male,group C,associate's degree,standard,completed,64,95,73,0,1,0,0
male,group E,bachelor's degree,standard,completed,57,50,50,1,0,0,0
male,group C,master's degree,standard,none,57,59,33,1,0,0,0
female,group C,bachelor's degree,free/reduced,none,48,52,45,1,0,0,0
male,group D,some high school,standard,completed,100,78,87,0,0,1,0
female,group A,associate's degree,free/reduced,none,40,96,63,0,1,0,0
male,group E,some high school,standard,none,71,74,68,0,1,0,0
male,group C,associate's degree,standard,none,51,47,40,1,0,0,0
female,group C,master's degree,standard,completed,61,95,67,0,1,0,0
male,group E,master's degree,free/reduced,completed,84,81,66,0,1,0,0
female,group B,bachelor's degree,standard,completed,47,67,66,0,1,0,0
male,group E,associate's degree,free/reduced,completed,49,28,68,1,0,0,0
male,group B,master's degree,free/reduced,none,86,58,70,0,1,0,0
female,group E,some high school,free/reduced,none,91,84,43,0,1,0,0
female,group E,some high school,free/reduced,completed,88,49,39,1,0,0,0
male,group C,bachelor's degree,standard,none,60,42,57,1,0,0,0
male,group C,bachelor's degree,free/reduced,none,66,72,67,0,1,0,0
male,group E,associate's degree,free/reduced,none,69,94,48,0,1,0,0
female,group E,bachelor's degree,standard,completed,57,86,76,0,1,0,0
female,group C,bachelor's degree,standard,completed,55,89,49,0,1,0,0
male,group E,master's degree,free/reduced,completed,61,65,68,0,1,0,0
female,group D,associate's degree,free/reduced,none,47,100,52,0,1,0,0
male,group B,bachelor's degree,free/reduced,none,84,31,57,1,0,0,0
female,group A,bachelor's degree,free/reduced,completed,47,41,39,1,0,0,0
female,group B,high school,free/reduced,none,85,60,72,0,1,0,0
male,group A,high school,free/reduced,none,100,68,81,0,0,1,0
male,group E,associate's degree,free/reduced,none,61,61,53,1,0,0,0
male,group C,high school,free/reduced,none,79,76,64,0,1,0,0
female,group C,some high school,standard,none,86,57,44,0,1,0,0
male,group E,master's degree,free/reduced,completed,60,58,65,0,1,0,0
male,group B,bachelor's degree,standard,completed,38,53,87,1,0,0,0
female,group C,high school,standard,none,63,56,83,0,1,0,0
male,group C,high school,free/reduced,none,53,59,81,0,1,0,0
female,group E,master's degree,standard,none,61,100,74,0,1,0,0
male,group D,high school,standard,none,61,57,39,1,0,0,0
female,group D,high school,standard,none,99,18,56,1,0,0,0
male,group B,associate's degree,free/reduced,completed,57,63,66,0,1,0,0
male,group D,high school,standard,none,35,65,62,1,0,0,0
female,group C,bachelor's degree,free/reduced,completed,56,82,61,0,1,0,0
male,group E,associate's degree,free/reduced,completed,32,86,31,1,0,0,0
female,group E,high school,free/reduced,completed,81,43,18,1,0,0,0
male,group B,some high school,free/reduced,completed,73,70,73,0,1,0,0
male,group E,high school,standard,completed,82,81,75,0,1,0,0
male,group B,associate's degree,standard,none,100,70,65,0,1,0,0
male,group E,high school,free/reduced,completed,86,85,59,0,1,0,0
female,group C,some high school,free/reduced,completed,78,42,42,1,0,0,0
female,group D,some high school,free/reduced,completed,60,50,61,1,0,0,0
female,group E,master's degree,free/reduced,completed,55,49,80,0,1,0,0
female,group A,bachelor's degree,standard,none,47,80,64,0,1,0,0
male,group B,bachelor's degree,free/reduced,completed,51,54,51,1,0,0,0
male,group E,bachelor's degree,free/reduced,none,42,76,35,1,0,0,0
male,group A,master's degree,free/reduced,none,42,58,48,1,0,0,0
female,group D,master's degree,standard,completed,47,58,53,1,0,0,0
female,group D,high school,standard,completed,47,55,33,1,0,0,0
male,group E,high school,free/reduced,none,22,70,52,1,0,0,0
male,group A,high school,standard,completed,24,39,65,1,0,0,0
male,group B,master's degree,free/reduced,none,42,22,63,1,0,0,0
male,group B,bachelor's degree,standard,completed,60,59,87,0,1,0,0
female,group D,some high school,free/reduced,completed,59,68,60,0,1,0,0
male,group C,master's degree,standard,completed,50,73,29,1,0,0,0
male,group A,master's degree,standard,none,39,97,52,0,1,0,0
female,group B,master's degree,free/reduced,completed,100,67,87,0,0,1,0
female,group E,some high school,standard,completed,70,61,60,0,1,0,0
female,group B,some high school,standard,none,66,51,42,1,0,0,0
female,group D,master's degree,free/reduced,none,65,100,88,0,0,1,0
male,group C,high school,standard,completed,77,75,81,0,1,0,0
female,group C,bachelor's degree,free/reduced,none,75,78,60,0,1,0,0
male,group D,high school,free/reduced,none,59,52,40,1,0,0,0
male,group E,high school,free/reduced,none,54,67,82,0,1,0,0
female,group B,bachelor's degree,free/reduced,none,41,57,42,1,0,0,0
female,group D,bachelor's degree,free/reduced,none,57,81,29,1,0,0,0
male,group E,bachelor's degree,free/reduced,completed,66,67,77,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,93,74,72,0,1,0,0
female,group A,some high school,free/reduced,completed,95,78,74,0,0,1,0
male,group C,some high school,standard,none,85,87,71,0,0,1,0
female,group D,associate's degree,standard,none,53,55,86,0,1,0,0
female,group D,master's degree,standard,completed,97,91,51,0,1,0,0
female,group D,some high school,free/reduced,completed,61,74,72,0,1,0,0
male,group E,bachelor's degree,standard,completed,74,51,34,1,0,0,0
male,group B,master's degree,free/reduced,completed,66,56,52,1,0,0,0
female,group D,associate's degree,free/reduced,none,42,66,60,1,0,0,0
male,group A,master's degree,free/reduced,none,59,39,100,0,1,0,0
male,group A,master's degree,standard,none,76,26,77,1,0,0,0
female,group E,bachelor's degree,free/reduced,none,80,80,100,0,0,1,0
female,group D,associate's degree,standard,completed,47,72,90,0,1,0,0
male,group E,associate's degree,standard,none,100,84,54,0,1,0,0
female,group B,master's degree,standard,none,90,82,43,0,1,0,0
male,group B,some high school,standard,none,42,58,71,1,0,0,0
female,group A,some high school,free/reduced,none,56,77,92,0,1,0,0
female,group C,high school,free/reduced,none,64,87,69,0,1,0,0
male,group B,bachelor's degree,standard,completed,26,47,59,1,0,0,0
male,group B,bachelor's degree,standard,completed,86,56,100,0,0,1,0
female,group A,master's degree,standard,completed,58,28,31,0,0,0,1
female,group D,some high school,free/reduced,completed,92,26,65,0,1,0,0
female,group C,high school,standard,completed,77,75,62,0,1,0,0
male,group C,master's degree,standard,completed,82,83,73,0,1,0,0
female,group E,bachelor's degree,free/reduced,none,57,56,96,0,1,0,0
female,group C,high school,standard,completed,81,84,53,0,1,0,0
female,group E,high school,free/reduced,none,43,98,57,0,1,0,0
male,group E,master's degree,standard,completed,63,56,85,0,1,0,0
male,group A,bachelor's degree,standard,none,70,89,27,0,1,0,0
female,group C,high school,free/reduced,completed,77,61,59,0,1,0,0
male,group E,bachelor's degree,free/reduced,completed,92,100,100,0,0,1,0
male,group A,associate's degree,standard,completed,68,66,63,0,1,0,0
male,group E,some high school,standard,none,85,78,97,0,0,1,0
female,group D,some high school,free/reduced,completed,68,98,83,0,0,1,0
male,group C,high school,free/reduced,completed,50,54,89,0,1,0,0
female,group D,high school,standard,completed,65,76,53,0,1,0,0
male,group A,master's degree,free/reduced,completed,96,100,100,0,0,1,0
female,group B,high school,standard,none,37,86,42,1,0,0,0
male,group A,bachelor's degree,free/reduced,completed,77,70,80,0,1,0,0
male,group A,bachelor's degree,free/reduced,none,71,30,47,1,0,0,0
female,group E,bachelor's degree,standard,none,58,92,98,0,0,1,0
male,group B,associate's degree,standard,completed,56,57,76,0,1,0,0
male,group C,master's degree,free/reduced,none,45,79,100,0,1,0,0
male,group D,associate's degree,free/reduced,none,75,48,61,0,1,0,0
female,group E,high school,free/reduced,none,78,62,52,0,1,0,0
female,group C,associate's degree,free/reduced,completed,69,48,31,1,0,0,0
female,group C,associate's degree,free/reduced,completed,70,10,87,1,0,0,0
male,group A,some high school,standard,none,99,58,63,0,1,0,0
male,group D,associate's degree,free/reduced,completed,65,90,44,0,1,0,0
male,group D,master's degree,standard,completed,38,61,70,1,0,0,0
male,group D,bachelor's degree,free/reduced,none,31,59,73,1,0,0,0
female,group C,high school,standard,completed,75,53,62,0,1,0,0
male,group C,associate's degree,standard,none,44,76,52,1,0,0,0
male,group C,master's degree,free/reduced,completed,44,51,88,0,1,0,0
female,group E,some high school,standard,completed,80,38,82,0,1,0,0
female,group E,bachelor's degree,standard,none,56,70,74,0,1,0,0
female,group D,bachelor's degree,standard,completed,79,89,75,0,0,1,0
male,group B,some high school,free/reduced,completed,70,71,64,0,1,0,0
male,group C,master's degree,standard,completed,30,64,97,0,1,0,0
female,group A,associate's degree,standard,completed,91,46,83,0,1,0,0
female,group E,associate's degree,standard,none,67,94,40,0,1,0,0
male,group D,high school,free/reduced,completed,71,65,49,0,1,0,0
female,group C,high school,standard,completed,64,77,84,0,1,0,0
female,group A,associate's degree,free/reduced,none,58,46,49,1,0,0,0
female,group B,associate's degree,standard,completed,76,89,68,0,1,0,0
female,group C,high school,standard,none,84,70,46,0,1,0,0
male,group C,high school,standard,none,32,54,83,1,0,0,0
male,group B,some high school,standard,none,69,61,69,0,1,0,0
male,group A,master's degree,standard,completed,100,66,28,0,1,0,0
male,group B,master's degree,standard,completed,93,73,81,0,0,1,0
female,group C,high school,free/reduced,completed,44,55,68,1,0,0,0
male,group C,master's degree,standard,completed,78,66,50,0,1,0,0
male,group C,some high school,standard,completed,94,17,77,0,1,0,0
male,group C,associate's degree,standard,none,48,55,37,1,0,0,0
male,group D,master's degree,free/reduced,completed,55,70,55,1,0,0,0
female,group A,some high school,standard,none,50,64,35,1,0,0,0
female,group E,master's degree,standard,none,78,35,93,0,1,0,0
male,group A,master's degree,standard,none,85,100,63,0,0,1,0
female,group C,some high school,free/reduced,none,62,100,78,0,1,0,0
female,group B,bachelor's degree,free/reduced,none,90,100,70,0,0,1,0
female,group C,bachelor's degree,free/reduced,completed,69,85,75,0,1,0,0
male,group A,some high school,free/reduced,completed,63,100,20,0,1,0,0
female,group E,some high school,free/reduced,completed,69,54,59,0,1,0,0
male,group C,bachelor's degree,standard,none,65,19,63,1,0,0,0
female,group D,associate's degree,standard,none,58,38,73,1,0,0,0
male,group E,master's degree,free/reduced,completed,78,66,67,0,1,0,0
female,group C,master's degree,standard,none,55,83,54,0,1,0,0
male,group C,bachelor's degree,standard,none,70,100,33,0,1,0,0
female,group C,master's degree,standard,completed,46,73,64,0,1,0,0
female,group E,some high school,free/reduced,completed,85,57,35,1,0,0,0
male,group A,associate's degree,free/reduced,none,24,51,46,1,0,0,0
female,group D,high school,standard,none,37,29,90,1,0,0,0
male,group A,associate's degree,free/reduced,completed,61,74,61,0,1,0,0
male,group E,some high school,standard,completed,100,66,89,0,0,1,0
female,group A,bachelor's degree,free/reduced,completed,71,34,42,1,0,0,0
male,group B,high school,standard,completed,26,63,78,1,0,0,0
female,group B,high school,free/reduced,none,45,52,55,1,0,0,0
female,group E,associate's degree,free/reduced,none,55,75,30,1,0,0,0
female,group E,high school,standard,completed,43,80,47,1,0,0,0
female,group E,high school,free/reduced,completed,66,83,52,0,1,0,0
male,group E,some high school,free/reduced,none,79,64,92,0,1,0,0
female,group B,some high school,free/reduced,completed,42,21,44,0,0,0,1
female,group A,bachelor's degree,free/reduced,completed,85,62,51,0,1,0,0
male,group E,associate's degree,standard,none,59,92,42,0,1,0,0
male,group B,associate's degree,free/reduced,none,86,69,80,0,1,0,0
female,group B,associate's degree,standard,completed,24,65,59,1,0,0,0
male,group C,some high school,free/reduced,none,46,72,26,1,0,0,0
male,group D,high school,free/reduced,none,61,79,62,0,1,0,0
male,group B,bachelor's degree,free/reduced,none,70,79,46,0,1,0,0
male,group C,associate's degree,standard,none,87,92,30,0,1,0,0
female,group D,associate's degree,free/reduced,completed,30,67,24,1,0,0,0
male,group D,some high school,standard,completed,18,45,54,0,0,0,1
male,group E,high school,standard,none,59,68,63,0,1,0,0
female,group D,associate's degree,free/reduced,none,76,78,79,0,1,0,0
male,group C,master's degree,standard,completed,47,65,87,0,1,0,0
female,group B,some high school,free/reduced,completed,43,60,58,1,0,0,0
male,group D,bachelor's degree,free/reduced,none,65,57,71,0,1,0,0
female,group B,master's degree,standard,completed,56,46,100,0,1,0,0
female,group D,bachelor's degree,standard,none,95,61,98,0,0,1,0
female,group E,associate's degree,standard,completed,86,37,74,0,1,0,0
female,group B,master's degree,free/reduced,none,82,74,85,0,0,1,0
female,group C,high school,standard,none,50,47,72,1,0,0,0
male,group C,some high school,standard,none,38,77,40,1,0,0,0
female,group E,bachelor's degree,free/reduced,none,91,63,49,0,1,0,0
female,group C,high school,standard,completed,53,34,91,1,0,0,0
female,group A,high school,standard,none,90,92,67,0,0,1,0
female,group B,master's degree,free/reduced,completed,62,79,73,0,1,0,0
female,group A,master's degree,free/reduced,none,58,59,78,0,1,0,0
female,group C,high school,free/reduced,completed,100,61,66,0,1,0,0
female,group C,high school,free/reduced,none,29,65,91,0,1,0,0
male,group C,master's degree,standard,none,83,100,31,0,1,0,0
female,group A,high school,standard,none,81,47,72,0,1,0,0
female,group D,high school,free/reduced,none,71,60,46,1,0,0,0
male,group A,associate's degree,free/reduced,completed,99,69,64,0,1,0,0
male,group E,master's degree,free/reduced,none,87,80,66,0,1,0,0
female,group B,some high school,free/reduced,completed,61,64,84,0,1,0,0
female,group B,some high school,free/reduced,completed,50,74,39,1,0,0,0
male,group A,bachelor's degree,standard,none,74,99,98,0,0,1,0
male,group E,associate's degree,standard,none,27,67,68,1,0,0,0
male,group E,bachelor's degree,standard,completed,77,82,55,0,1,0,0
female,group E,some high school,standard,completed,71,73,77,0,1,0,0
male,group C,bachelor's degree,free/reduced,completed,61,80,78,0,1,0,0
female,group C,some high school,standard,completed,60,80,60,0,1,0,0
female,group E,master's degree,free/reduced,completed,100,72,74,0,0,1,0
female,group A,some high school,standard,none,36,78,29,1,0,0,0
male,group B,bachelor's degree,free/reduced,none,64,45,81,0,1,0,0
male,group A,bachelor's degree,free/reduced,completed,72,45,48,1,0,0,0
male,group D,high school,standard,completed,77,8,44,1,0,0,0
female,group B,bachelor's degree,standard,completed,97,88,46,0,1,0,0
male,group E,some high school,standard,none,96,100,100,0,0,1,0
female,group D,bachelor's degree,free/reduced,none,47,41,72,1,0,0,0
female,group E,high school,free/reduced,completed,63,51,64,1,0,0,0
male,group C,bachelor's degree,standard,completed,38,51,100,0,1,0,0
male,group C,associate's degree,standard,none,61,91,58,0,1,0,0
male,group D,some high school,free/reduced,completed,25,38,55,0,0,0,1
male,group D,high school,free/reduced,completed,55,100,90,0,0,1,0
